Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Деряжний,Світлана,,Жінка,1970-01-03,Музичний редактор,селище Кадіївка,"проспект Грибоєдова, буд. 274, Комарно, 92758",+380 03 034-54-35,klyment32@example.net
Затула,Марта,,Жінка,1965-06-20,Намотувальник,село Білицьке,"узвіз Аполона Скальковського, буд. 014 кв. 75, Покровськ, 64476",+380 05 711 93 64,tverdokhlibalbina@example.org
Макогон,Святослава,,Жінка,1957-01-17,Підприємець,селище Верхньодніпровськ,"сквер Кипарисний 3-й, буд. 48, Бучач, 93521",037 539-19-45,boliinyk@example.com
Лупій,Оксенія,,Жінка,1950-08-06,Вчитель,хутір Курахове,"сквер Красних Зорь, буд. 179, Рудки, 66092",327-17-66,sofiiaokhrimenko@example.org
Вдовиченко,Марія,,Жінка,2005-11-27,Геофізик,місто Іршава,"узвіз Горбиста, буд. 974, Борщів, 15703",+380 59 101-70-47,shtepadmytro@example.net
Рябошапка,Христина,,Жінка,1965-04-11,Пілот,хутір Баштанка,"площа Новоселів, буд. 7, Попасна, 82476",+380 59 313-10-85,uazhazha@example.org
Байрак,Аліна,,Жінка,1979-11-13,Льотчик,хутір Бучач,"парк Вчительської, 2-й, буд. 166 кв. 02, Березівка, 64730",+380 62 048 15 46,sdotsenko@example.net
Усик,Віолетта,,Жінка,2002-01-18,Візажист,хутір Теплодар,"узвіз Травневий 3-й, буд. 913 кв. 88, Сіверськ, 88762",+380 92 504 45 36,herman10@example.net
Бандурка,Олена,,Жінка,1988-01-27,Пекар,селище Чернігів,"провулок Вапняне селище, буд. 674, Підгородне, 92096",011 322 50 42,izhakerika@example.com
Дуплій,Любов,,Жінка,1957-06-28,Гірник,хутір Баштанка,"провулок Тимірязєва, буд. 766 кв. 69, Калуш, 06901",027 059-45-83,ihnatsyrotenko@example.org
Ґоляш,Ярослава,,Жінка,1960-03-13,Перекладач,хутір Вільногірськ,"парк Східний 2-й, буд. 2, Міусинськ, 76100",046 672 10 80,iermolenkosviatoslava@example.org
Ґерус,Мілена,,Жінка,1988-09-26,Круп'є,селище Буринь,"сквер Хімічний 2-й, буд. 8 кв. 79, Чигирин, 66453",+380 (68) 054-82-22,vitalii44@example.org
Рябовіл,Володимира,,Жінка,1998-04-21,Фрілансер,селище Харцизьк,"проспект Газовий, буд. 5, Молочанськ, 44059",021 198 79 23,qieroshenko@example.com
Заїка,Лариса,,Жінка,1980-06-29,Музикант,селище Гірське,"сквер Чернишевського, буд. 43, Лутугине, 10822",254-16-84,omelianperepelytsia@example.org
Романчук,Марія,,Жінка,1954-05-23,Модель,селище Зугрес,"проспект Успенська, буд. 17, Моршин, 91342",+380 (62) 064-58-85,tfurs@example.com
Колісниченко,Віра,,Жінка,2001-09-25,Мікробіолог,хутір Куп'янськ,"узвіз Гладкова, буд. 5 кв. 0, Селидове, 21265",499-19-67,ostaptalan@example.com
Тичина,Вікторія,,Жінка,1965-09-17,Письменник,місто Балта,"узвіз Яблунева, буд. 28, Мелітополь, 20578",+380 95 086-54-95,haidaburafrants@example.net
Гайдабура,Розалія,,Жінка,1957-02-27,Електромонтер,селище Горохів,"проспект Аеропортівський 2-й, буд. 553, Гірник , 47204",+380 14 713 19 91,irynasamoilenko@example.org
Дергач,Єлисавета,,Жінка,2006-07-02,Клоун,селище Старий Крим,"площа Самодіяльна, буд. 795 кв. 5, Комарно, 16786",+380 28 613-23-92,bohodarmedvedenko@example.org
Колесниченко,Ярослава,,Жінка,1962-07-17,Програміст,хутір Петрово-Красносілля,"площа Кільцева, буд. 835, Алупка, 04771",+380 65 675-65-38,sviatoslavskyrda@example.com
Оніщук,Марта,,Жінка,1977-04-26,Мірошник,хутір Камінь-Каширський,"шосе Танкістів, буд. 5 кв. 6, Хорол , 49031",+380 33 162 00 02,mamchurspas@example.org
Чекалюк,Світлана,,Жінка,1962-11-23,Перекладач,місто Калинівка ,"парк Моторний 3-й, буд. 829 кв. 67, Саки , 43463",004 661-79-12,hunkoiustym@example.org
Швачка,Аніта,,Жінка,1969-11-23,Стиліст,селище Іршава,"сквер Качалова, буд. 95 кв. 346, Армянськ, 67654",093 451 52 29,arkadii51@example.com
Ващенко-Захарченко,Лариса,,Жінка,1948-04-23,Дерун,хутір Пустомити,"узвіз Артилерійська, буд. 5 кв. 998, Бердянськ, 04310",+380 96 848-46-42,ievhenhohol-ianovskyi@example.net
Вишняк,Ганна,,Жінка,1984-08-01,Ботанік,місто Первомайськ,"провулок Хімічний 3-й, буд. 93 кв. 6, Погребище, 35060",+380 (45) 457-22-00,mykhailyna11@example.com
Франко,Марта,,Жінка,2004-07-27,Маркетолог,хутір Білопілля,"сквер Контрадмірала Луніна, буд. 295, Верхівцеве, 45419",046 170-64-72,dbezditko@example.net
Усик,Богуслава,,Жінка,1987-12-19,Кушнір,село Запоріжжя,"вулиця Чорноморський, буд. 5 кв. 39, Кам'янка-Дніпровська, 02824",089 756-03-47,ababiak@example.net
Хоменко,Мілена,,Жінка,1996-04-11,Соціолог,селище Кипуче,"площа Жевахова, буд. 876 кв. 6, Краматорськ, 30821",+380 36 327-17-75,tdankevych@example.org
Зінкевич,Ада,,Жінка,1990-03-16,Мінералог,місто Дубно,"сквер Восьмого березня, буд. 5 кв. 7, Токмак, 65954",+380 84 490-19-62,anton10@example.org
Кириленко,Ганна,,Жінка,1967-09-13,Ботанік,село Українка ,"парк Пантелеймонівська, буд. 9 кв. 166, Джанкой, 79739",485-84-07,rokhrymovych@example.com
Франчук,Христина,,Жінка,1971-02-05,Слідчий,село Арциз,"парк Лавкова, буд. 960 кв. 93, Первомайськ, 24137",+380 57 365 71 13,siefymenko@example.org
Полтавець,Орина,,Жінка,1996-05-10,Дантист,хутір Хуст,"вулиця Товарний, буд. 028, Гола Пристань, 87989",+380 (00) 003-20-57,eievtushok@example.org
Жук,Святослава,,Жінка,1996-02-15,Хореограф,село Сколе,"проспект Танфільєва, буд. 910, Полтава, 04974",439 34 83,skorobohatkoiustyna@example.org
Шаблій,Лариса,,Жінка,1958-06-28,Гірник,хутір Феодосія,"парк Учительський, буд. 8 кв. 483, Ровеньки, 52078",068 054-02-15,liubovfilipenko@example.org
Андрієнко,Тетяна,,Жінка,1979-08-09,Публіцист,селище Хотин,"площа Зелена, буд. 26, Кропивницький, 57214",024 670 79 16,nzaporozhets@example.com
Шведченко,Галина,,Жінка,1960-04-09,Хімік,місто Молодогвардійськ,"площа Степана Разіна, буд. 20 кв. 831, Баштанка, 76318",076 460 27 99,iustymdeineka@example.com
Туркало,Святослава,,Жінка,1990-06-05,Водій,селище Долина ,"парк Прокатна, буд. 66, Білозерське, 02860",038 720-28-00,ievtushokteodor@example.org
Сиротенко,Марина,,Жінка,1994-03-12,Фізик,хутір Немирів,"вулиця Крутоярська, буд. 082 кв. 0, Новомиргород, 17426",841-23-39,vira33@example.com
Якименко,Данна,,Жінка,2004-06-14,Петрограф,хутір Рава-Руська,"набережна Об'їзна дорога, буд. 834 кв. 7, Сміла, 67637",112 77 39,trokhymfranchuk@example.com
Гресь,Аніта,,Жінка,1969-12-01,Географ,хутір Тетіїв,"сквер Елеваторна, буд. 42 кв. 74, Ірміно, 77139",011 147 73 19,mtelychenko@example.net
Артим,Ольга,,Жінка,1978-04-23,Драматург,селище Хмельницький,"парк Чапаєва, буд. 01, Городок, 95323",909-58-92,zshcherbak@example.net
Гайдай,Марія,,Жінка,1963-08-30,Секретар,хутір Покров,"проспект Стражеска Миколи, буд. 887, Яготин, 85114",+380 43 522-23-67,ushovkoplias@example.net
Якименко,Ганна,,Жінка,1978-09-10,Намотувальник,селище Любомль,"набережна Шилова, буд. 98 кв. 8, Макіївка, 37755",540-80-36,hodunokmilena@example.net
Яремків,Марина,,Жінка,1948-08-21,Музикант,селище Хмельницький,"парк Вєтрова, буд. 32 кв. 34, Жданівка, 67303",+380 40 049 05 85,mpylypenko@example.com
Цісик,Тереза,,Жінка,1974-09-04,Драматург,село Мерефа,"сквер Цегляна, буд. 719, Узин, 97731",+380 93 000 03 64,iaroslavvasylechko@example.org
Удовиченко,Марія,,Жінка,1957-04-08,Прокурор,селище Бердичів,"вулиця Кутузова, буд. 75, Белз, 51681",+380 58 990-59-54,khrystenkovarvara@example.org
Теліженко,Михайлина,,Жінка,1990-04-13,Гінеколог,хутір Кременець,"набережна Вишнева, буд. 84, Вашківці, 95624",036 485 73 54,bohuslav72@example.org
Батуринець,Клавдія,,Жінка,1971-01-01,Музикознавець,селище Хорол ,"сквер Василя Кандинського 5-й, буд. 29 кв. 49, Сарни, 82780",+380 55 358 86 54,orysia85@example.org
Ванченко,Ольга,,Жінка,1994-12-15,Мистецтвознавець,місто Чоп,"шосе Дежньова, буд. 400 кв. 554, Новий Розділ, 81206",068 184-33-29,turkaloamvrosii@example.net
Ейбоженко,Едита,,Жінка,1949-05-27,Каскадер,хутір Снігурівка,"парк Прохоровський, буд. 16 кв. 70, Хрестівка, 04606",009 510 43 68,trokhymzasiadko@example.com
Симоненко,Марія,,Жінка,1958-10-06,Ґрунтознавець,місто Арциз,"парк Академіка Корольова, буд. 5 кв. 87, Ялта, 15089",106 24 35,panteleimontryhub@example.net
Зубко,Орися,,Жінка,1991-11-06,Модельєр,місто Городище ,"сквер Ширшова, буд. 3 кв. 7, Тячів, 19473",978-02-56,alina21@example.net
Худяк,Одарка,,Жінка,2003-12-30,Швачка,село Світлодарськ,"сквер Поперечний, буд. 75 кв. 3, Гірське, 21612",655-38-92,adamavdieienko@example.com
Асаула,Аніта,,Жінка,1989-12-01,Хореограф,хутір Кобеляки,"провулок Басейний 3-й, буд. 4, Новоукраїнка, 32732",796-95-91,karpapylyp@example.net
Карпенко,Алла,,Жінка,1997-07-02,Бібліограф,село Красногорівка,"вулиця Верстатобудівна, буд. 523 кв. 29, Суми, 72234",479 37 81,edytadatsenko@example.org
Тригуб,Одарка,,Жінка,2004-09-30,Музичний редактор,місто Сімферополь,"проспект Маловського, буд. 4, Бровари, 85623",281-41-58,varvara99@example.com
Давимука,Пріска,,Жінка,2007-09-20,Композитор,місто Мостиська,"площа Матроська Слобідка, буд. 669 кв. 964, Теплодар, 35036",+380 14 997-13-42,ievdokymenkosviatoslav@example.org
Вівчаренко,Богуслава,,Жінка,1968-06-01,Піаніст,селище Новоукраїнка,"вулиця Садова 4-та, буд. 2, Залізне, 33981",087 194-03-64,ulytvyn@example.net
Ґерус,Єва,,Жінка,1989-10-16,Фольклорист,селище Кам'янка-Дніпровська,"провулок Данила Крижанівського, буд. 861, Білопілля, 38266",091 404 87 76,hupaloiukhym@example.org
Башполченко,Наталія,,Жінка,1953-12-23,Гірник,місто Обухів,"набережна 11-та Суворовська, буд. 011 кв. 836, Теребовля, 84665",+380 88 427 87 10,myron54@example.com
Забара,Лариса,,Жінка,1997-06-02,Ґрунтознавець,селище Долинська,"парк Вокзальний, буд. 00 кв. 369, Вугледар, 65517",017 299-66-76,nhrechko@example.net
Бандура,Орися,,Жінка,1975-08-25,Літературознавець,місто Білгород-Дністровський,"набережна Морська, буд. 9, Любомль, 65668",+380 (45) 913-14-62,klyment13@example.net
Рубан,Ірина,,Жінка,1954-02-19,Фермер,хутір Теребовля,"шосе Зелена гірка, буд. 17, Підгайці, 76200",068 587-76-73,erikazinchuk@example.org
Заїка,Алла,,Жінка,1999-01-23,Електромонтер,місто Ровеньки,"шосе Глазунова 1-й, буд. 185, Бориспіль, 55240",+380 70 204-54-77,dashkevychalla@example.net
Лубенець,Василина,,Жінка,1979-12-25,Клоун,місто Боково-Хрустальне,"набережна Четверта, буд. 239, Лисичанськ, 28402",073 396-47-61,kybkalosnizhana@example.com
Дашкевич,Сніжана,,Жінка,1977-06-29,Математик,село Гірське,"площа Каспійський, буд. 6, Самбір, 32223",772 31 76,solomon18@example.com
Авраменко,Тереза,,Жінка,1973-04-21,Гицель,селище Ківерці,"узвіз Тимірязєва 3-й, буд. 05 кв. 48, Монастириська, 01829",+380 64 796 38 51,qandriichuk@example.net
Атаманюк,Данна,,Жінка,1964-09-18,Маркетолог,хутір Мелітополь,"парк Бібліотечна, буд. 41 кв. 9, Шостка, 23548",029 963 44 77,fveres@example.com
Гавриленко,Галина,,Жінка,2001-08-18,Публіцист,хутір Христинівка,"провулок Лодочний, буд. 513, Добромиль, 42435",971-18-56,ieva72@example.org
Чекалюк,Еріка,,Жінка,1971-08-02,Режисер,хутір Червоносів,"шосе Гетьманський, буд. 92 кв. 785, Жидачів, 95556",055 243 33 68,gabramenko@example.net
Петлюра,Ада,,Жінка,2000-07-31,Мікробіолог,село Снігурівка,"набережна Байкал тупик, буд. 759 кв. 7, Буськ, 09712",066-67-77,lukian37@example.com
Бандера,Ліза,,Жінка,1962-05-05,Художник,місто Костопіль,"площа ПшеничнаРадищева, буд. 9, Узин, 30404",091 908 34 30,mariana90@example.com
Гайдабура,Ада,,Жінка,1978-01-31,Живописець,селище Белз,"проспект Нескучна, буд. 1, Джанкой, 08300",+380 27 241-01-10,ydakhno@example.com
Гавриш,Анжела,,Жінка,1978-01-11,Геофізик,селище Біла Церква,"узвіз Моторна, буд. 0 кв. 0, Богодухів, 82732",+380 (57) 734-68-72,bohdan31@example.org
Забіла,Соломія,,Жінка,1997-12-02,Водій,село Первомайський ,"провулок 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 2, Ладижин, 52657",757 87 43,makarenkoievhen@example.com
Коваленко,Роксолана,,Жінка,1952-01-06,Шериф,селище Великі Мости,"узвіз Скляний 1-й, буд. 35, Волочиськ, 10520",855-94-51,utytarenko@example.com
Барабаш,Людмила,,Жінка,1978-09-08,Біолог,хутір Рогатин,"вулиця Гоголя, буд. 235, Зіньків, 71165",073 994 49 72,umiroshnychenko@example.net
Коваленко,Ада,,Жінка,1982-01-07,Астрофізик,хутір Дніпро ,"проспект Ризька, буд. 81, Трускавець, 68986",929 47 83,fbevzenko@example.com
Вакарчук,Христина,,Жінка,1970-12-08,Програміст,місто Географія Вільнянська,"площа Лузанівка, буд. 485 кв. 79, Новояворівськ, 40572",305-07-74,bohdanna49@example.org
Ващук,Еріка,,Жінка,1954-12-21,Електротехнік,хутір Святогірськ,"проспект Партизанська, буд. 9, Родинське, 54702",+380 69 462-20-87,bvasylevych@example.net
Яременко,Вікторія,,Жінка,1960-07-12,Стиліст,селище Кам'янка (Черкаська область),"вулиця Степана Разіна, буд. 830 кв. 260, Ужгород, 56912",324-46-63,svitlana14@example.net
Ґерус,Златослава,,Жінка,1983-11-17,Програміст,хутір Білицьке,"сквер Ковиловий, буд. 2 кв. 46, Гола Пристань, 46642",+380 (44) 004-48-82,malyshkoorkhyp@example.org
Пʼятаченко,Амалія,,Жінка,1963-09-29,Акушер,місто Харцизьк,"набережна Плієва, буд. 173, Жашків, 70615",+380 37 477 62 63,kshukhevych@example.net
Мірошниченко,Клавдія,,Жінка,2002-07-18,Вчитель,хутір Мала Виска,"узвіз Академіка Філатова, буд. 0, Бобровиця, 95909",+380 37 509-69-58,khomenkopriska@example.com
Щербань,Єлисавета,,Жінка,1985-04-02,Клавішник,село Кальміуське,"провулок Спартаківська, буд. 24, Мелітополь, 52536",+380 (79) 074-21-46,spaspustovit@example.org
Верхола,Оксана,,Жінка,1989-09-22,Правник,хутір Шепетівка,"вулиця Творча, буд. 083 кв. 35, Донецьк, 81165",517-49-99,fomenkoielysaveta@example.com
Піддубний,Пріска,,Жінка,1998-07-25,Фармацевт,хутір Южне,"парк Братів Поджіо, буд. 007 кв. 43, Мирноград, 24899",862 46 29,ovsiienkomakar@example.com
Симоненко,Маруся,,Жінка,1970-02-03,Футболіст,хутір Полтава,"набережна Ліверпульський, буд. 472 кв. 07, Алчевськ, 23371",467 56 64,fvernyhora@example.org
Яременко,Варвара,,Жінка,1997-06-08,Маркетолог,селище Тростянець,"узвіз Кипарисний 1-й, буд. 316, Молочанськ, 36259",+380 (65) 621-57-64,artem36@example.com
Ґерета,Марʼяна,,Жінка,1963-04-21,Модель,хутір Приморськ (Україна),"проспект Кавказький, буд. 57, Богодухів, 58390",+380 (93) 177-66-69,mykolai68@example.org
Вівчаренко,Анжела,,Жінка,1991-04-28,Стоматолог,селище Соснівка ,"парк Архітектурна, буд. 04, Сокаль, 58878",+380 (38) 578-20-77,iushchenkodaryna@example.com
